tanggal,rr
1/7/2020,29.6
1/8/2020,0
1/9/2020,2.6
1/10/2020,19.1
1/11/2020,9.2
1/12/2020,5.5
1/13/2020,0
1/14/2020,0.7
1/15/2020,0
1/16/2020,18.6
1/17/2020,0.4
1/18/2020,0
1/19/2020,0
1/20/2020,0
1/21/2020,0
1/22/2020,2.2
1/23/2020,6.8
1/24/2020,8.5
1/25/2020,0
1/26/2020,30.8
1/27/2020,0
1/28/2020,8
1/29/2020,3.2
1/30/2020,0
1/31/2020,5.1
2/1/2020,3
2/2/2020,0
2/3/2020,14.8
2/4/2020,1.2
2/5/2020,10.9
2/6/2020,0
2/7/2020,
2/8/2020,8
2/9/2020,0.3
2/10/2020,13.5
2/11/2020,1.4
2/12/2020,9.5
2/13/2020,2.7
2/14/2020,4.7
2/15/2020,77.2
2/16/2020,2
2/17/2020,2.7
2/18/2020,0.4
2/19/2020,12.8
2/20/2020,26.3
2/21/2020,24.5
2/22/2020,27
2/23/2020,0
2/24/2020,0.3
2/25/2020,6.1
2/26/2020,29.8
2/27/2020,7.1
2/28/2020,0
2/29/2020,0
3/1/2020,59.5
3/2/2020,49.6
3/3/2020,24.4
3/4/2020,39.6
3/5/2020,89.8
3/6/2020,2.3
3/7/2020,1
3/8/2020,20.8
3/9/2020,9.6
3/10/2020,16.4
3/11/2020,0
3/12/2020,14.7
3/13/2020,7.5
3/14/2020,0
3/15/2020,0
3/16/2020,1.8
3/17/2020,0
3/18/2020,9.7
3/19/2020,39.6
3/20/2020,39.6
3/21/2020,35
3/22/2020,1.5
3/23/2020,76.4
3/24/2020,
3/25/2020,36.8
3/26/2020,72.3
3/27/2020,0
3/28/2020,1
3/29/2020,28
3/30/2020,4.5
3/31/2020,0
4/1/2020,61.3
4/2/2020,0
4/3/2020,
4/4/2020,29
4/5/2020,3.9
4/6/2020,78.4
4/7/2020,3.8
4/8/2020,2.5
4/9/2020,0.9
4/10/2020,7.2
4/11/2020,25.6
4/12/2020,1.6
4/13/2020,0
4/14/2020,0
4/15/2020,
4/16/2020,
4/17/2020,1
4/18/2020,55
4/19/2020,1.8
4/20/2020,10.4
4/21/2020,
4/22/2020,9.2
4/23/2020,
4/24/2020,13
4/25/2020,
4/26/2020,42.7
4/27/2020,0
4/28/2020,1.5
4/29/2020,3
4/30/2020,0.9
5/1/2020,
5/2/2020,
5/3/2020,0
5/4/2020,0
5/5/2020,0
5/6/2020,0
5/7/2020,
5/8/2020,0
5/9/2020,54.5
5/10/2020,77.5
5/11/2020,
5/12/2020,50.5
5/13/2020,
5/14/2020,0
5/15/2020,0
5/16/2020,0
5/17/2020,
5/18/2020,0
5/19/2020,12.4
5/20/2020,13
5/21/2020,3.7
5/22/2020,0
5/23/2020,
5/24/2020,
5/25/2020,
5/26/2020,
5/27/2020,12.8
5/28/2020,1.5
5/29/2020,12
5/30/2020,2.7
5/31/2020,29.5
6/1/2020,1
6/2/2020,0
6/3/2020,0
6/4/2020,0
6/5/2020,4.5
6/6/2020,0
6/7/2020,1.5
6/8/2020,0
6/9/2020,20.3
6/10/2020,
6/11/2020,0
6/12/2020,
6/13/2020,0
6/14/2020,0
6/15/2020,0
6/16/2020,
6/17/2020,0
6/18/2020,
6/19/2020,0
6/20/2020,0
6/21/2020,0
6/22/2020,14.1
6/23/2020,0
6/24/2020,
6/25/2020,0
6/26/2020,
6/27/2020,0
6/28/2020,0
6/29/2020,
6/30/2020,0
7/1/2020,0
7/2/2020,0
7/3/2020,
7/4/2020,
7/5/2020,
7/6/2020,
7/7/2020,2.8
7/8/2020,0
7/9/2020,0
7/10/2020,0
7/11/2020,
7/12/2020,
7/13/2020,0
7/14/2020,
7/15/2020,0
7/16/2020,
7/17/2020,0
7/18/2020,0
7/19/2020,0
7/20/2020,0
7/21/2020,0
7/22/2020,
7/23/2020,0
7/24/2020,0
7/25/2020,0
7/26/2020,0
7/27/2020,0
7/28/2020,
7/29/2020,0
7/30/2020,
7/31/2020,
8/1/2020,
8/2/2020,0
8/3/2020,0
8/4/2020,0
8/5/2020,
8/6/2020,0
8/7/2020,0
8/8/2020,
8/9/2020,0
8/10/2020,
8/11/2020,0
8/12/2020,11.7
8/13/2020,11.4
8/14/2020,14.4
8/15/2020,
8/16/2020,0
8/17/2020,0.4
8/18/2020,0
8/19/2020,0
8/20/2020,0
8/21/2020,0
8/22/2020,0
8/23/2020,0
8/24/2020,0
8/25/2020,
8/26/2020,0
8/27/2020,
8/28/2020,
8/29/2020,0
8/30/2020,
8/31/2020,0
9/1/2020,0
9/2/2020,0
9/3/2020,
9/4/2020,27.2
9/5/2020,0
9/6/2020,0
9/7/2020,
9/8/2020,0
9/9/2020,
9/10/2020,
9/11/2020,
9/12/2020,0
9/13/2020,0
9/14/2020,
9/15/2020,
9/16/2020,
9/17/2020,
9/18/2020,
9/19/2020,
9/20/2020,
9/21/2020,
9/22/2020,
9/23/2020,
9/24/2020,
9/25/2020,
9/26/2020,
9/27/2020,
9/28/2020,4.2
9/29/2020,0
9/30/2020,
10/1/2020,0
10/2/2020,0
10/3/2020,4.5
10/4/2020,7.5
10/5/2020,6.1
10/6/2020,8
10/7/2020,
10/8/2020,0
10/9/2020,0
10/10/2020,0
10/11/2020,28.4
10/12/2020,1.3
10/13/2020,0
10/14/2020,1.4
10/15/2020,0
10/16/2020,0
10/17/2020,
10/18/2020,0
10/19/2020,2.8
10/20/2020,12.4
10/21/2020,26.5
10/22/2020,0
10/23/2020,
10/24/2020,4.4
10/25/2020,11.2
10/26/2020,65.1
10/27/2020,
10/28/2020,29
10/29/2020,18.1
10/30/2020,
10/31/2020,9.8
11/1/2020,6
11/2/2020,21.2
11/3/2020,1.1
11/4/2020,5.8
11/5/2020,1.8
11/6/2020,3.1
11/7/2020,0
11/8/2020,
11/9/2020,3.7
11/10/2020,0
11/11/2020,
11/12/2020,0
11/13/2020,1
11/14/2020,10.8
11/15/2020,
11/16/2020,13.7
11/17/2020,4.9
11/18/2020,0
11/19/2020,8.6
11/20/2020,75
11/21/2020,1
11/22/2020,
11/23/2020,0
11/24/2020,28.1
11/25/2020,
11/26/2020,6
11/27/2020,0
11/28/2020,0
11/29/2020,30.7
11/30/2020,12.4
12/1/2020,0
12/2/2020,14.9
12/3/2020,9.1
12/4/2020,13.1
12/5/2020,0
12/6/2020,12.6
12/7/2020,1
12/8/2020,7.5
12/9/2020,
12/10/2020,
12/11/2020,20.2
12/12/2020,88.7
12/13/2020,2.5
12/14/2020,230.5
12/15/2020,0.2
12/16/2020,0
12/17/2020,0.3
12/18/2020,50.6
12/19/2020,11.2
12/20/2020,
12/21/2020,0
12/22/2020,0
12/23/2020,0
12/24/2020,0
12/25/2020,0
12/26/2020,7.6
12/27/2020,19.2
12/28/2020,4.1
12/29/2020,0.5
12/30/2020,14.6
12/31/2020,44.1
1/1/2021,
1/2/2021,12.5
1/3/2021,0
1/4/2021,0
1/5/2021,0
1/6/2021,21.4
1/7/2021,3
1/8/2021,17.6
1/9/2021,8
1/10/2021,18.6
1/11/2021,13.3
1/12/2021,9.1
1/13/2021,62.9
1/14/2021,60.1
1/15/2021,0
1/16/2021,0
1/17/2021,0
1/18/2021,1
1/19/2021,22.1
1/20/2021,3.5
1/21/2021,22
1/22/2021,2.6
1/23/2021,0
1/24/2021,
1/25/2021,5.5
1/26/2021,1.5
1/27/2021,40.5
1/28/2021,9.7
1/29/2021,3
1/30/2021,14.9
1/31/2021,0
2/1/2021,20.8
2/2/2021,47.2
2/3/2021,14.3
2/4/2021,16.7
2/5/2021,27.8
2/6/2021,0.9
2/7/2021,0
2/8/2021,8.2
2/9/2021,9.2
2/10/2021,14.7
2/11/2021,6.7
2/12/2021,0
2/13/2021,23.8
2/14/2021,1.6
2/15/2021,8.5
2/16/2021,13
2/17/2021,0.6
2/18/2021,3.9
2/19/2021,0.4
2/20/2021,4.1
2/21/2021,1
2/22/2021,1
2/23/2021,0
2/24/2021,14.4
2/25/2021,0
2/26/2021,4.9
2/27/2021,22.7
2/28/2021,9.7
3/1/2021,
3/2/2021,0
3/3/2021,0
3/4/2021,26.8
3/5/2021,0
3/6/2021,0
3/7/2021,17.5
3/8/2021,2.7
3/9/2021,5.6
3/10/2021,39
3/11/2021,6
3/12/2021,30.4
3/13/2021,2
3/14/2021,0
3/15/2021,5.7
3/16/2021,3.2
3/17/2021,1.4
3/18/2021,33.7
3/19/2021,41.7
3/20/2021,
3/21/2021,
3/22/2021,
3/23/2021,
3/24/2021,0
3/25/2021,3.5
3/26/2021,0.8
3/27/2021,0
3/28/2021,2.7
3/29/2021,
3/30/2021,13.8
3/31/2021,9.4
4/1/2021,0.5
4/2/2021,30.3
4/3/2021,0
4/4/2021,13.4
4/5/2021,46.2
4/6/2021,14.6
4/7/2021,55.5
4/8/2021,0.7
4/9/2021,0
4/10/2021,1.5
4/11/2021,13.8
4/12/2021,19.8
4/13/2021,9.5
4/14/2021,0
4/15/2021,2
4/16/2021,7.4
4/17/2021,1.3
4/18/2021,0
4/19/2021,15
4/20/2021,0
4/21/2021,0
4/22/2021,
4/23/2021,0
4/24/2021,0
4/25/2021,
4/26/2021,0
4/27/2021,0
4/28/2021,4.5
4/29/2021,
4/30/2021,0
5/1/2021,0
5/2/2021,0
5/3/2021,0.1
5/4/2021,0
5/5/2021,12
5/6/2021,0
5/7/2021,0
5/8/2021,2.3
5/9/2021,0
5/10/2021,0
5/11/2021,0
5/12/2021,0
5/13/2021,0
5/14/2021,0
5/15/2021,6.5
5/16/2021,0
5/17/2021,0
5/18/2021,0.9
5/19/2021,0
5/20/2021,0
5/21/2021,0
5/22/2021,0
5/23/2021,24.9
5/24/2021,0
5/25/2021,9
5/26/2021,
5/27/2021,0
5/28/2021,
5/29/2021,0
5/30/2021,4.4
5/31/2021,0
6/1/2021,0
6/2/2021,0
6/3/2021,
6/4/2021,0
6/5/2021,0
6/6/2021,0
6/7/2021,0
6/8/2021,
6/9/2021,0
6/10/2021,15.2
6/11/2021,8.9
6/12/2021,10.7
6/13/2021,0
6/14/2021,0
6/15/2021,0
6/16/2021,2.7
6/17/2021,84.8
6/18/2021,0
6/19/2021,2.7
6/20/2021,9.1
6/21/2021,0
6/22/2021,26.2
6/23/2021,24.4
6/24/2021,0.3
6/25/2021,1
6/26/2021,0
6/27/2021,0.4
6/28/2021,1.3
6/29/2021,16
6/30/2021,5.4
7/1/2021,6.2
7/2/2021,0
7/3/2021,0
7/4/2021,0
7/5/2021,0
7/6/2021,0
7/7/2021,0
7/8/2021,0
7/9/2021,2.6
7/10/2021,0
7/11/2021,
7/12/2021,0
7/13/2021,0
7/14/2021,0
7/15/2021,0
7/16/2021,0
7/17/2021,0
7/18/2021,
7/19/2021,0
7/20/2021,0
7/21/2021,0
7/22/2021,0
7/23/2021,0
7/24/2021,0
7/25/2021,0
7/26/2021,0
7/27/2021,0
7/28/2021,0
7/29/2021,0
7/30/2021,0
7/31/2021,0
8/1/2021,
8/2/2021,0.7
8/3/2021,1.5
8/4/2021,1.5
8/5/2021,8.2
8/6/2021,0
8/7/2021,0
8/8/2021,0
8/9/2021,0
8/10/2021,0
8/11/2021,0
8/12/2021,0
8/13/2021,2.6
8/14/2021,1.1
8/15/2021,17.5
8/16/2021,0
8/17/2021,0
8/18/2021,0
8/19/2021,
8/20/2021,
8/21/2021,0
8/22/2021,0.8
8/23/2021,0
8/24/2021,
8/25/2021,0
8/26/2021,0
8/27/2021,0
8/28/2021,
8/29/2021,
8/30/2021,0
8/31/2021,0
9/1/2021,0
9/2/2021,0
9/3/2021,0
9/4/2021,0
9/5/2021,0
9/6/2021,0
9/7/2021,0
9/8/2021,0
9/9/2021,0
9/10/2021,0
9/11/2021,8.2
9/12/2021,13.8
9/13/2021,19.7
9/14/2021,
9/15/2021,14.2
9/16/2021,8.8
9/17/2021,0
9/18/2021,0
9/19/2021,0
9/20/2021,0
9/21/2021,
9/22/2021,12.3
9/23/2021,1.2
9/24/2021,0
9/25/2021,25.5
9/26/2021,0.5
9/27/2021,28.8
9/28/2021,0.6
9/29/2021,0
9/30/2021,
10/1/2021,0
10/2/2021,0
10/3/2021,0
10/4/2021,0
10/5/2021,
10/6/2021,2
10/7/2021,0
10/8/2021,0
10/9/2021,0
10/10/2021,0
10/11/2021,0
10/12/2021,0
10/13/2021,0
10/14/2021,0
10/15/2021,0
10/16/2021,0
10/17/2021,0
10/18/2021,0
10/19/2021,25.5
10/20/2021,3.1
10/21/2021,0
10/22/2021,60.7
10/23/2021,9.5
10/24/2021,0
10/25/2021,0
10/26/2021,
10/27/2021,8
10/28/2021,
10/29/2021,15.6
10/30/2021,19.7
10/31/2021,1.6
11/1/2021,36.8
11/2/2021,1
11/3/2021,12.4
11/4/2021,14.4
11/5/2021,7.4
11/6/2021,2
11/7/2021,8
11/8/2021,19.2
11/9/2021,1.6
11/10/2021,13.1
11/11/2021,45.8
11/12/2021,14.9
11/13/2021,43.2
11/14/2021,4.4
11/15/2021,2.5
11/16/2021,3.4
11/17/2021,36.3
11/18/2021,7.6
11/19/2021,11.8
11/20/2021,9.1
11/21/2021,0.2
11/22/2021,1.6
11/23/2021,15.9
11/24/2021,2.5
11/25/2021,
11/26/2021,2.5
11/27/2021,21
11/28/2021,3.7
11/29/2021,2.5
11/30/2021,0
12/1/2021,0
12/2/2021,0
12/3/2021,1
12/4/2021,1.2
12/5/2021,1.1
12/6/2021,2.7
12/7/2021,17.3
12/8/2021,5.7
12/9/2021,3
12/10/2021,0.2
12/11/2021,3.8
12/12/2021,26.4
12/13/2021,1
12/14/2021,
12/15/2021,3
12/16/2021,1.6
12/17/2021,6.9
12/18/2021,9.9
12/19/2021,64.2
12/20/2021,30.8
12/21/2021,44.4
12/22/2021,0
